
**  時頻分析【輸出的數值結果】 (方法一)  **

            t             y(振幅）

        0.00000          3.00000
        0.09000          2.46593
        0.18000          1.14477
        0.27000         -0.29110
        0.36000         -1.18023
        0.45000         -1.24861
        0.54000         -0.72579
        0.63000         -0.14081
        0.72000          0.05150
        0.81000         -0.24081
        0.90000         -0.72982
        0.99000         -0.99704
        1.08000         -0.82125
        1.17000         -0.34758
        1.26000          0.02318
        1.35000         -0.05409
        1.44000         -0.58133
        1.53000         -1.16717
        1.62000         -1.26567
        1.71000         -0.55354
        1.80000          0.80902
        1.89000          2.22044
        1.98000          2.97243
        2.07000          2.67090
        2.16000          1.47492
        2.25000          0.00000
        2.34000         -1.05210
        2.43000         -1.29959
        2.52000         -0.86752
        2.61000         -0.24851
        2.70000          0.05425
        2.79000         -0.14432
        2.88000         -0.62659
        2.97000         -0.97357
        3.06000         -0.89684
        3.15000         -0.45966
        3.24000         -0.02875
        3.33000          0.00871
        3.42000         -0.44045
        3.51000         -1.06072
        3.60000         -1.30902
        3.69000         -0.78196
        3.78000          0.47614
        3.87000          1.94104
        3.96000          2.89047
        4.05000          2.82975
        4.14000          1.79094
        4.23000          0.31336
        4.32000         -0.88207
        4.41000         -1.31545
        4.50000         -1.00000
        4.59000         -0.37321
        4.68000          0.03051
        4.77000         -0.06269
        4.86000         -0.51609

=============================================

**  時頻分析【輸出的數值結果】 (方法二) **
            t             y(振幅）
        0.00000          3.00000
        0.09000          2.46593
        0.18000          1.14477
        0.27000         -0.29110
        0.36000         -1.18023
        0.45000         -1.24861
        0.54000         -0.72579
        0.63000         -0.14081
        0.72000          0.05150
        0.81000         -0.24081
        0.90000         -0.72982
        0.99000         -0.99704
        1.08000         -0.82125
        1.17000         -0.34758
        1.26000          0.02318
        1.35000         -0.05409
        1.44000         -0.58133
        1.53000         -1.16717
        1.62000         -1.26567
        1.71000         -0.55354
        1.80000          0.80902
        1.89000          2.22044
        1.98000          2.97243
        2.07000          2.67090
        2.16000          1.47492
        2.25000          0.00000
        2.34000         -1.05210
        2.43000         -1.29959
        2.52000         -0.86752
        2.61000         -0.24851
        2.70000          0.05425
        2.79000         -0.14432
        2.88000         -0.62659
        2.97000         -0.97357
        3.06000         -0.89684
        3.15000         -0.45966
        3.24000         -0.02875
        3.33000          0.00871
        3.42000         -0.44045
        3.51000         -1.06072
        3.60000         -1.30902
        3.69000         -0.78196
        3.78000          0.47614
        3.87000          1.94104
        3.96000          2.89047
        4.05000          2.82975
        4.14000          1.79094
        4.23000          0.31336
        4.32000         -0.88207
        4.41000         -1.31545
        4.50000         -1.00000
        4.59000         -0.37321
        4.68000          0.03051
        4.77000         -0.06269
        4.86000         -0.51609

請按任意鍵繼續 . . .
